Designator,MPN/Seeed SKU,Qty
U1,STM32F405RGT6,1
U2,TC2117-3.3VDBTR,1
U3,DRV8302DCA,1
U401,SN65HVD232DR,1
R1,NCP18XH103F03RB,1
L1,SDR0805-220ML,1
X1,ZX62D-B-5PA8(30),1
X2,ABM3B-8.000MHZ-10-1UT,1
"Q1,Q2,Q3,Q4,Q5,Q6",IRFS7530TRL7PP,6
"R53,R54",WSLP27261L000FEA,2
"C25,C33,C58",TPSB107K006R0400,3
"C37,C51",CGA9P3X7S2A156M250KB,2
"C1,C8,C9,C39,C40,C43,C44,C49,C53,C54,C55",UMK316BBJ106ML-T,11
"C10,C11,C12,C13,C14,C16,C17,C18,C20,C23,C24,C26,C31,C35,C41,C52,C401",C1608X5R1C225M,17
C63,GRM188R61H105MAALD,1
"C28,C29,C30",TMK107B7224KA-T,3
"C2,C3,C27,C32,C42,C45,C46,C47,C48,C49,C50,C56,C57,C62,C64",06035C104JAT2A,15
C22,GRM188F51H223ZA01D,1
C61,GRM188R71H103JA01D,1
C21,GRM188R71H682KA01J,1
"C4,C5,C6,C7",GRM188R71H472JA01D,4
"C34, C36",GRM188R71H222JA01D,2
C60,GRM1885C1H121JA01D,1
C19,GRM1885C1H121JA01D,1
C59,GRM1885C1H101GA01J,1
"C15,C38",GRM1885C2A150JA01D,2
D1,LTST-C191KGKT,1
D2,LTST-C191KRKT,1
D3,LB Q39G-N1OO-35-1,1
D4,"PMEG6020ER,115",1
D5,SMAJ5.0A,1
"D6,D7,D8,D9,D10,D11,D24",RSX101VAM30TR,7
"D12,D13,D14,D15,D16,D17,D18,D19,D20,D21,D22,D23",SK54L-TP,12
R25,RK73H1JTTD1004F,1
R21,RK73H1JTTD2203F,1
"R3,R23,R26,R30,R32,R36,R46",ERJ-3EKF3902V,7
R17,RK73H1JTTD1802F,1
R19,RK73H1JTTD1502F,1
"R2,R7,R8,R9,R10,R20,R402",RK73H1JTTD1002F,7
R18,RK73H1JTTD3301F,1
"R4,R5,R11,R12,R13,R22,R24,R27,R33",RK73H1JTTD2201F,9
"R28,R29,R34,R35,R37,R38,R42,R43,R48,R49,R50,R51,R401",RK73H1JTTD1000F,13
"R103, R104",RK73H1JTTD22R0F,2
"R41,R44,R45,R47,R52,R55",RK73H1JTTD10R0F,6
"R14,R15,R16,R31,R39,R40",WSLT2512R0400FEB,6
,,
,,
R6,,0
"1PIN,1PIN",,0
K1,,0
"P1,P2,P3,P4,P5,P6,P7,P9,P101",,0
"C68,C69",,0
"C70,C71",,0
"J1,J2,J7,J8",,0
